"_id","region","date","temperature","rainfall","humidity","condition","__v","createdAt","updatedAt"
"69b8691cb5e619f02c12b7f4","Medchal","2026-03-16T20:33:32.365Z",33.14399914597361,0,71.80774541901876,"Clear",0,"2026-03-16T20:33:32.519Z","2026-03-16T20:33:32.519Z"
"69b8691cb5e619f02c12b7f5","Hyderabad","2026-03-16T20:33:32.365Z",23.931781954679966,0,63.48684950873838,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7f6","Rangareddy","2026-03-16T20:33:32.365Z",21.579554728378447,6.818461052584201,73.0461554344084,"Rainy",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7f7","Sangareddy","2026-03-16T20:33:32.365Z",30.40627381406044,0,56.62697160435949,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7f8","Nizamabad","2026-03-16T20:33:32.365Z",27.535326827276325,0.35918764684302884,74.73751346449072,"Rainy",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7f9","Medchal","2026-03-15T20:33:32.366Z",26.50859911320719,0,51.801098922803575,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7fa","Hyderabad","2026-03-15T20:33:32.366Z",34.20295778470697,0,60.96548301943283,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7fb","Rangareddy","2026-03-15T20:33:32.366Z",24.278348279374345,0,66.4150749088348,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7fc","Sangareddy","2026-03-15T20:33:32.366Z",39.78898902521745,0,72.01371602590797,"Clear",0,"2026-03-16T20:33:32.520Z","2026-03-16T20:33:32.520Z"
"69b8691cb5e619f02c12b7fd","Nizamabad","2026-03-15T20:33:32.366Z",24.68375771453112,0,67.81186300740136,"Clear",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
"69b8691cb5e619f02c12b7fe","Medchal","2026-03-14T20:33:32.366Z",31.981994803260022,42.19512780829593,69.08261716840839,"Rainy",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
"69b8691cb5e619f02c12b7ff","Hyderabad","2026-03-14T20:33:32.366Z",32.27678523146339,0,56.11647561375301,"Clear",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
"69b8691cb5e619f02c12b800","Rangareddy","2026-03-14T20:33:32.366Z",22.355790277242402,0,68.3142217235785,"Clear",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
"69b8691cb5e619f02c12b801","Sangareddy","2026-03-14T20:33:32.366Z",32.442850800729225,0,76.67898331633465,"Clear",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
"69b8691cb5e619f02c12b802","Nizamabad","2026-03-14T20:33:32.366Z",37.70810583803195,14.308878628738741,53.59498091295067,"Rainy",0,"2026-03-16T20:33:32.521Z","2026-03-16T20:33:32.521Z"
