"_id","crop_name","market_name","region","state","date","arrival_quantity","price_min","price_max","price_modal","__v","createdAt","updatedAt"
"69b8691cb5e619f02c12bdd1","Millet","Medchal Market","Medchal","Telangana","2026-03-16T20:33:32.365Z",966,1771.0724769937715,3798.34012171392,2181.3093889198385,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd2","Cotton","Rangareddy Market","Rangareddy","Telangana","2026-03-16T20:33:32.365Z",520,2399.9557032825087,3041.049662742281,3052.013225444458,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd3","Rice (Paddy)","Rangareddy Market","Rangareddy","Telangana","2026-03-16T20:33:32.365Z",536,1913.1715574436323,3703.684651432127,2130.4223767748704,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd4","Rice (Paddy)","Sangareddy Market","Sangareddy","Telangana","2026-03-16T20:33:32.365Z",766,2109.979446371625,3698.2041020598763,2179.0598370713446,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd5","Maize","Sangareddy Market","Sangareddy","Telangana","2026-03-16T20:33:32.365Z",1057,1967.9784605055,3767.85734591956,2835.2005913612024,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd6","Groundnut","Nizamabad Market","Nizamabad","Telangana","2026-03-16T20:33:32.365Z",454,1604.2566691614957,3658.207405816032,2073.126806615113,0,"2026-03-16T20:33:33.037Z","2026-03-16T20:33:33.037Z"
"69b8691cb5e619f02c12bdd7","Cotton","Nizamabad Market","Nizamabad","Telangana","2026-03-16T20:33:32.365Z",912,1897.7737317834724,3762.94117112482,2459.8965483995657,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bdd8","Rice (Paddy)","Nizamabad Market","Nizamabad","Telangana","2026-03-16T20:33:32.365Z",640,1713.9670620929605,3176.4100276136105,3454.2608064607716,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bdd9","Maize","Nizamabad Market","Nizamabad","Telangana","2026-03-16T20:33:32.365Z",1011,1845.0404329003868,3633.5291952002817,3021.4417568606846,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bdda","Millet","Nizamabad Market","Nizamabad","Telangana","2026-03-16T20:33:32.365Z",586,1892.9872972268845,3598.9602215720915,2927.3275236237214,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bddb","Cotton","Medchal Market","Medchal","Telangana","2026-03-15T20:33:32.366Z",125,2367.5821946702545,3809.0385308108707,2323.5824375228217,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bddc","Rice (Paddy)","Medchal Market","Medchal","Telangana","2026-03-15T20:33:32.366Z",431,2173.0747128559433,3842.378161457667,3206.127651633087,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
"69b8691cb5e619f02c12bddd","Millet","Medchal Market","Medchal","Telangana","2026-03-15T20:33:32.366Z",275,1897.8783427123221,3264.983539872228,3065.3678019483414,0,"2026-03-16T20:33:33.038Z","2026-03-16T20:33:33.038Z"
